x,f(x)
-10.0, -1.1917935066878964
-9.99, -1.1841751153353919
-9.98, -1.1767704331693738
-9.97, -1.1695740085837412
-9.96, -1.1625806175219564
-9.950000000000001, -1.1557852529819153
-9.940000000000001, -1.1491831151287135
-9.930000000000001, -1.1427696019757498
-9.920000000000002, -1.1365403005975703
-9.910000000000002, -1.1304909788405526
-9.900000000000002, -1.1246175775000398
-9.890000000000002, -1.1189162029348039
-9.880000000000003, -1.1133831200918423
-9.870000000000003, -1.108014745916424
-9.860000000000003, -1.1028076431241087
-9.850000000000003, -1.097758514313087
-9.840000000000003, -1.0928641963967294
-9.830000000000004, -1.0881216553376085
-9.820000000000004, -1.083527981165573
-9.810000000000004, -1.079080383263635
-9.800000000000004, -1.0747761859065554
-9.790000000000004, -1.0706128240380253
-9.780000000000005, -1.0665878392732957
-9.770000000000005, -1.0626988761149978
-9.760000000000005, -1.05894367837071
-9.750000000000005, -1.0553200857615852
-9.740000000000006, -1.0518260307120728
-9.730000000000006, -1.0484595353114141
-9.720000000000006, -1.0452187084382156
-9.710000000000006, -1.0421017430399722
-9.700000000000006, -1.039106913559947
-9.690000000000007, -1.03623257350431
-9.680000000000007, -1.033477153142915
-9.670000000000007, -1.030839157337521
-9.660000000000007, -1.0283171634916677
-9.650000000000007, -1.025909819616824
-9.640000000000008, -1.0236158425097548
-9.630000000000008, -1.0214340160364128
-9.620000000000008, -1.0193631895179747
-9.610000000000008, -1.0174022762149408
-9.600000000000009, -1.015550251905489
-9.590000000000009, -1.013806153554572
-9.580000000000009, -1.0121690780704597
-9.57000000000001, -1.0106381811457004
-9.56000000000001, -1.00921267617969
-9.55000000000001, -1.0078918332802533
-9.54000000000001, -1.0066749783418465
-9.53000000000001, -1.0055614921982061
-9.52000000000001, -1.0045508098474238
-9.51000000000001, -1.0036424197476477
-9.50000000000001, -1.0028358631817487
-9.49000000000001, -1.0021307336894882
-9.480000000000011, -1.001526676565862
-9.470000000000011, -1.0010233884244737
-9.460000000000012, -1.000620616824926
-9.450000000000012, -1.0003181599633817
-9.440000000000012, -1.0001158664255874
-9.430000000000012, -1.0000136350017892
-9.420000000000012, -1.0000114145631327
-9.410000000000013, -1.0001092039992523
-9.400000000000013, -1.0003070522169168
-9.390000000000013, -1.0006050581997241
-9.380000000000013, -1.0010033711289832
-9.370000000000013, -1.001502190566057
-9.360000000000014, -1.0021017666965801
-9.350000000000014, -1.002802400637111
-9.340000000000014, -1.0036044448049157
-9.330000000000014, -1.0045083033517364
-9.320000000000014, -1.0055144326625287
-9.310000000000015, -1.0066233419203388
-9.300000000000015, -1.0078355937385977
-9.290000000000015, -1.0091518048623345
-9.280000000000015, -1.0105726469399186
-9.270000000000016, -1.012098847367162
-9.260000000000016, -1.0137311902057584
-9.250000000000016, -1.0154705171782548
-9.240000000000016, -1.0173177287419188
-9.230000000000016, -1.019273785244094
-9.220000000000017, -1.0213397081618483
-9.210000000000017, -1.0235165814289244
-9.200000000000017, -1.0258055528532848
-9.190000000000017, -1.0282078356287419
-9.180000000000017, -1.0307247099444923
-9.170000000000018, -1.0333575246965918
-9.160000000000018, -1.0361076993057599
-9.150000000000018, -1.038976725646193
-9.140000000000018, -1.0419661700904097
-9.130000000000019, -1.0450776756755074
-9.120000000000019, -1.048312964396602
-9.110000000000019, -1.0516738396336105
-9.10000000000002, -1.0551621887179998
-9.09000000000002, -1.0587799856465632
-9.08000000000002, -1.0625292939497961
-9.07000000000002, -1.0664122697229774
-9.06000000000002, -1.0704311648286287
-9.05000000000002, -1.0745883302796364
-9.04000000000002, -1.0788862198129812
-9.03000000000002, -1.0833273936647196
-9.020000000000021, -1.0879145225576348
-9.010000000000021, -1.0926503919137678
-9.000000000000021, -1.0975379063049513
-8.990000000000022, -1.1025800941553798
-8.980000000000022, -1.107780112711313
-8.970000000000022, -1.1131412532940745
-8.960000000000022, -1.1186669468537305
-8.950000000000022, -1.1243607698421134
-8.940000000000023, -1.1302264504252404
-8.930000000000023, -1.1362678750567106
-8.920000000000023, -1.1424890954352869
-8.910000000000023, -1.148894335871648
-8.900000000000023, -1.1554880010912332
-8.890000000000024, -1.1622746845021983
-8.880000000000024, -1.1692591769597567
-8.870000000000024, -1.1764464760607145
-8.860000000000024, -1.1838417960046455
-8.850000000000025, -1.191450578061141
-8.840000000000025, -1.199278501685777
-8.830000000000025, -1.2073314963309314
-8.820000000000025, -1.2156157540014392
-8.810000000000025, -1.224137742609269
-8.800000000000026, -1.2329042201859797
-8.790000000000026, -1.2419222500167755
-8.780000000000026, -1.2511992167654962
-8.770000000000026, -1.2607428436659258
-8.760000000000026, -1.2705612108615192
-8.750000000000027, -1.2806627749829258
-8.740000000000027, -1.2910563900608294
-8.730000000000027, -1.3017513298804906
-8.720000000000027, -1.3127573118942646
-8.710000000000027, -1.324084522819189
-8.700000000000028, -1.3357436460588197
-8.690000000000028, -1.3477458911017828
-8.680000000000028, -1.3601030250642883
-8.670000000000028, -1.3728274065602963
-8.660000000000029, -1.385932022101203
-8.650000000000029, -1.3994305252472723
-8.640000000000029, -1.413337278755619
-8.63000000000003, -1.42766739999483
-8.62000000000003, -1.442436809924497
-8.61000000000003, -1.4576622859695187
-8.60000000000003, -1.4733615191544107
-8.59000000000003, -1.48955317590257
-8.58000000000003, -1.506256964950049
-8.57000000000003, -1.5234937098736654
-8.56000000000003, -1.5412854277898775
-8.550000000000031, -1.5596554148448594
-8.540000000000031, -1.5786283391885152
-8.530000000000031, -1.5982303422072275
-8.520000000000032, -1.6184891488831261
-8.510000000000032, -1.639434188253573
-8.500000000000032, -1.6610967250650783
-8.490000000000032, -1.6835100038535495
-8.480000000000032, -1.706709406840175
-8.470000000000033, -1.7307326272126977
-8.460000000000033, -1.7556198595690382
-8.450000000000033, -1.781414009538773
-8.440000000000033, -1.808160924873084
-8.430000000000033, -1.8359096506119863
-8.420000000000034, -1.8647127113063036
-8.410000000000034, -1.8946264237003325
-8.400000000000034, -1.9257112437801145
-8.390000000000034, -1.958032152675065
-8.380000000000035, -1.9916590865832349
-8.370000000000035, -2.0266674166920513
-8.360000000000035, -2.063138486010502
-8.350000000000035, -2.1011602111442125
-8.340000000000035, -2.140827758366815
-8.330000000000036, -2.1822443049129827
-8.320000000000036, -2.2255218982940588
-8.310000000000036, -2.2707824286828155
-8.300000000000036, -2.318158732112826
-8.290000000000036, -2.3677958454937253
-8.280000000000037, -2.4198524383874718
-8.270000000000037, -2.474502451287581
-8.260000000000037, -2.5319369760035793
-8.250000000000037, -2.592366420944944
-8.240000000000038, -2.656023012967639
